date_tested,keyword,translation
10/13/2017,习近平+大权在握,Xi Jinping + hold all the power
10/13/2017,上海帮+江泽民,Shanghai Clique + Jiang Zemin
10/13/2017,设党主席,set up party chairman
10/13/2017,习近平+插进了政治局+自己的亲信,Xi Jinping + put into Politburo + his trusted allies
10/13/2017,利益集团+江泽民,interest groups + Jiang Zemin
10/13/2017,习近平+权力被夸大,Xi Jinping + power is exaggerated
10/13/2017,习近平+打倒并消灭+自己的继承,Xi Jinping + Overthrow and destroy + his own sucessor
10/13/2017,王岐山+留任,Wang Qisan + remain in power
10/13/2017,胡+春+华+习近平+接班人,Hu + Chun + Hua + Xi Jinping + successor
10/13/2017,习近平集权,Xi Jinping consolidates Power
10/13/2017,三连任+习近平,three consecutive terms + Xi Jinping
10/13/2017,两岸关系+九二共识+台独+同属,Cross-strait relations + [19]92 [One China] Consensus + Taiwan Independence + Both belong to
10/17/2017,吴爱英+法律人,Wu Aiying + law professional
10/17/2017,吴爱英+签名,Wu Aiying + signature
10/17/2017,十九大+权力再分配+美国之音,19th party congress + power redistribution + VOA
10/17/2017,写入到党章+有点早+江泽民,written to party constitution + too early + Jiang Zemin
10/17/2017,出席+十九大+开明派+李锐,attend + 19th party congress + liberal + Li Rui
10/17/2017,习近平+搞个人崇拜,Xi Jinping + cult
10/17/2017,个人崇拜+十九大+杜导正,cult + 19th party congress + Du Daozheng
10/17/2017,19大+国保+敏感时期,19th party congress + state security + sensitive period
10/17/2017,不见+十九大+新闻中心+赵紫阳,do not see + 19th party congress + press room + Zhao Ziyang
10/17/2017,中共当局+胁迫打压+负面作为,CCP authorities + supprress + negative activities 
10/17/2017,中共+新极权主义,CCP + neo totalitarianism
10/17/2017,主+义+习近平+极权,-ism + Xi Jinping + totalitarianism
10/17/2017,与毛邓并驾齐驱+习近平,on par with Mao [Zedong] and Deng [Xiaoping] + Xi Jinping
10/17/2017,习家军,Xi's Army
10/17/2017,政治局委员+进常委+陈敏尔,Politburo member + enter the Politburo Standing Committee + Chen Min'er
10/17/2017,七中全会+新极权主义,7th Plenum + neo-totalitarianism
10/18/2017,十九大+异见人士+维稳,19th Party Congress + dissidents + maintain stability
10/18/2017,习近平+权斗,Xi Jinping  + power struggle
10/18/2017,中国+强国崛起,China + the rise of a strong nation
10/18/2017,习近平+党权膨胀,Xi Jinping + expansion of power within the Party
10/18/2017,强国崛起+法媒,the rise of a strong nation + French media
10/18/2017,十九大+控制+活动人士+进行,19th Party Congress + control + activists + conduct
10/18/2017,十九大+政治敏感+档期+芳华,19th Party Congress + politically sensitive + schedule + Youth
10/18/2017,政治局常委+栗战书,Politburo standing committee + LI Zhanshu
10/18/2017,亲信+栗战书,trusted ally + Li Zhanshu
10/18/2017,独裁+近平,dictatorship + Jinping
10/18/2017,元旦+庹震,new year's eve + Tuo Zhen
10/18/2017,2022年+继+续掌权,2022 + continue + hold on to power
10/18/2017,周期率+民主+窑洞+黄炎培,cycle rate + democracy + cave + Huang Yanpei
10/18/2017,农历+十九大代表+召开+在京,lunar calendar + 19th party congress delegates + convene + in Beijing
10/18/2017,八八战略+总书记+浙江+舟山,"""Eight Eight Strategies"" + General Secretary + Zhejiang + Zhoushan"
10/18/2017,党员干部+刘云山+教育实践活动+群众,Party cadre + Liu Yunshan + educational practice activities + the mass
10/18/2017,加强+教育实践活动+李克强+群众,strengthen + educational practice activities + Li Keqiang + the mass
10/19/2017,体系+危机+治理+现代化,system + challenge + handle  + modernaization
10/19/2017,一国两制+中央+李克强+香港,one country two systems + Central + Li Keqiang + Hong Kong
10/19/2017,刘云山+挑战习近平,Liu Yunshan + challenge Xi Jinping
10/19/2017,孟建柱+裸官,Meng Jianzhu + naked official
10/23/2017,习近平的关注+宣传这些古老思想+深受,Xi Jinping's focus + promote traditional thoughts
10/23/2017,习近平+他的圣地+宣传王阳明以来,Xi Jinping + his sacred place + promote [thougts] since Wang Yangming
10/23/2017,官员+徐琦+是习近平的+陈敏尔,official + Xu Qi + Is Xi Jinping's + Chen Min'er
10/23/2017,习近平掌握+未见的权力+汪洋的声音,Xi Jinping control + unseen power + Wang Yang's voice
10/23/2017,发达+政治局常委+陈敏尔,development + Politburo Standing Committee member + Chen Min'er
10/23/2017,巨大+广州+政治局常委+汪洋,massive + Guangzhou + Politburo Standing Committee member + Wang Yang
10/23/2017,习近平上台+已经收紧+网络的控制,Xi Jinping took office + tightened + control over the Internet 
10/23/2017,夺取共产党+孙政才+控制权,rob the CCP + Sun Zhengcai + control power
10/23/2017,共产党的罪行+取代习近平,CCP's misconduct + replace Xi Jinping
10/24/2017,党代会+政治评论人士+遭到囚禁,seminal Communist Party meeting + political commentator + imprisoned
10/24/2017,习近平+十九大+打压人权,Xi Jinping + 19th Party Congress + suppress human rights
10/24/2017,张德江+梁振英+特首+连任,Zhang Dejiang + Leung Chun-ying + Chief executive + re-elected
10/24/2017,中港关系+习近平+更加对立,mainland-HK relations + Xi Jinping + confrontational
10/24/2017,中央+全面管治权+建制派+港人,central + full governing authority + establishment + Hong Kong People
10/24/2017,习近平+未来五年+鼓吹民族主义,Xi Jinpng + five years down the road + boost nationalism
10/24/2017,十九大+生产之间的矛盾+重大变革,19th Party Congress + contradictions between production + major reforms
10/24/2017,在北京+被赶+贫富差距+金融人士,in Beijing + being expelled + gap between the rich and the poor + finance people
10/24/2017,十九大+女性问题+突破政坛,19th Party Congress + female issue + break [glass ceiling] in political career
10/24/2017,7名中常委+包括习近平+发言中均提及,7 Central Politburo Standing Committee member + including Xi Jinping + their speeches mention
10/25/2017,全國政協主席+政治局常委+韓正,vice-chief of CPPCC + Politburo Standing Committee+ Han Zheng
10/25/2017,七上八下+習近平,[sixty-] seven promote [sixty-eight] retire + Xi Jinping
10/25/2017,王滬寧+組織+習近平+趙樂際,Wang Huning + organize + Xi Jinping + Zhao Leji
10/25/2017,中共的控制+习近平+最强大,CCP's control + Xi Jinping + most powerful 
10/25/2017,习近平执政+十九大+直到本世纪30年代,Xi Jinping hold power + 19th party congress + till 2030s 
10/25/2017,中共领导人+写入党章+掌权+毛泽东,CCP leader + written to party constitution + hold onto power + Mao Zedong
10/25/2017,习近平的亲信+进入政治局,Xi Jinping's aide + enter Politburo
10/25/2017,中央委员会主席,Chairman of the Central Committee
