Date Tested,Keyword,Translation,Theme,Category,Keyword Type ,Language,Note,Reference,
07/2016,李鹏 绝食的学生 天安门广场,Li Peng Student on Hunger Strike Tiananmen Square,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Likely referring to Li Peng's role in the June 4 1989 Tiananmen Movement, who is widely known to be tough on student protesters on hunger strike",,
07/2016,悼念 维园 六四,Memorial Victoria Park June 4,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Victoria Park in Hong Kong is where the Hong Kong Alliance holds memorials for the Tiananmen Movement,,
07/2016,六四 學生 民主運動,June 4 Student Democracy Movement,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Reference to the June 4 1989 Tiananmen Movement,,
07/2016,六四大屠殺,June 4 Massacre,Event,Tiananmen Square Massacre ,phrase,traditional Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四事件 鄧小平,June 4 Event Deng Xiaoping,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Many pointed at Deng Xiaoping as the one that declared the martial law and military advance on Beijing city during the Tiananmen Movement,https://en.wikipedia.org/wiki/Deng_Xiaoping#Role_in_the_Tiananmen_Square_protests,
07/2016,六四 血腥 鎮壓,June 4 Bloody Crackdown,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Reference to the military crackdown on the Tiananmen Movement,,
07/2016,六四紀念館,June 4 Museum,Event,Tiananmen Square Massacre ,phrase,traditional Chinese,Reference to the world's first memorial museum for the Tiananmen Square protests of 1989 located in Tsim Sha Tsui Hong Kong,,
07/2016,六四 劉曉波,June 4 Liu Xiaobo,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Liu Xiaobo is a Chinese activist who called for political reforms and the end of communist single-party rule; Liu participated in the 1989 Tiananmen Square protests,,
07/2016,鎮壓學生 戒嚴部隊 天安門廣場,Crackdown Student Martial Law Troup Tiananmen Square ,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Reference to the martial law enforced on Tiananmen Square,,
07/2016,六四 屠殺 趙紫陽,June 4 Murder Zhao Ziyang,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Zhao Ziyang was the Party General Secretary in 1989 and treated the protesters sympathetically.,,
07/2016,六四紀念 維園,June 4 Memorial Victoria Park,Event,Tiananmen Square Massacre ,combo,traditional Chinese,Victoria Park in Hong Kong is where the Hong Kong Alliance holds memorials for the Tiananmen Movement,,
07/2016,天安门事件,Tiananmen Incident,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Movement,,
07/2016,89年 北京戒严,89 Year Beijing Martial Law,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the enactment of martial law during the Tiananmen Movement,,
07/2016,1989 屠杀 天安门广场,1989 Murder Tiananmen Square,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,1989 民主运动,1989 Democarcy Movement,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Movement,,
07/2016,六四学生领袖,June 4 Student Leader,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Students were the major initiators and leaders of the June 4 Tiananmen Movement,,
07/2016,平反64,Vindicate June 4,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,A call for the Chinese government to investigate and redress human rights abuses during the June 4 1989 crackdown.,,
07/2016,血腥 天安门,Bloody Tiananmen,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,8964 屠杀 纪念,8964 Murder Memorial,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to memorials of the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四 镇压 学生,June 4 Crackdown Student,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the military crackdown on the Tiananmen Movement,,
