Result,idx,Date,Source
中国领导人腐败,57,2024-10-31T18:58:16Z,https://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20241031-%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%9D%83%E6%8D%8D%E5%8D%AB%E8%80%85%E8%AE%B8%E5%BF%97%E6%B0%B8%E6%8D%AE%E6%8A%A5%E5%B7%B2%E7%BB%9D%E9%A3%9F%E8%BF%91%E4%B8%80%E6%9C%88-%E8%BA%AB%E4%BD%93%E7%8A%B6%E5%86%B5%E5%A0%AA%E5%BF%A7
近平 + 熊,1374,2024-10-27T21:53:31Z,https://botanwang.com/articles/202410/%E4%B8%87%E5%9C%A3%E8%8A%82%E5%89%8D%E5%A4%95%E4%B8%8A%E6%B5%B7%E6%B0%94%E6%B0%9B%E7%B4%A7%E5%BC%A0%EF%BC%9A%E5%BD%93%E5%B1%80%E7%A6%81%E2%80%9C%E8%A7%92%E8%89%B2%E6%89%AE%E6%BC%94%E2%80%9D%E5%8A%A0%E5%BC%BA%E7%BB%B4%E7%A8%B3%EF%BC%8C%E9%97%B9%E5%B8%82%E4%BB%8D%E8%A7%81%E2%80%9C%E5%A5%87%E8%A3%85%E5%BC%82%E6%9C%8D%E2%80%9D.html
和平奖 + 刘晓波,1415,2024-10-13T12:41:13Z,https://boxun.com/archives/415050
诺贝尔 + 刘晓波,1412,2024-10-13T12:40:59Z,https://boxun.com/archives/415050
扳倒毛泽东,2897,2024-10-11T02:00:52Z,https://botanwang.com/articles/202410/%E5%81%9A%E5%A5%BD%E4%BA%8B%E6%88%90%E5%82%AC%E5%91%BD%E7%AC%A6%7C%E7%9B%91%E5%AF%9F%E9%83%A8%E9%95%BF%E9%AD%94%E5%B9%BB%E4%BA%BA%E7%94%9F.html
失业后在家,771,2024-10-07T03:10:03Z,https://botanwang.com/articles/202410/%E3%80%96%E5%BE%AE%E5%8D%9A%E8%B0%88%E3%80%97%E4%B8%80%E4%B8%AA%E6%AD%A3%E7%89%8C%E5%B0%8F%E5%AD%A6%E6%AF%95%E4%B8%9A%EF%BC%8C%E4%B8%80%E4%B8%AA%E5%93%88%E4%BD%9B%E6%AF%95%E4%B8%9A.html
20大 + sb,542,2024-10-05T19:29:39Z,https://boxun.com/archives/412853
邓小平腐败,634,2024-10-01T19:30:21Z,https://www.rfa.org/mandarin/yataibaodao/zhengzhi/my-overseas-dissidents-meet-on-china-democracy-transition-10012024113926.html
讨习檄文,1757,2024-10-01T19:10:34Z,https://botanwang.com/articles/202410/%E7%A4%BE%E7%A7%91%E9%99%A2%E5%AD%A6%E8%80%85%E6%9C%B1%E6%81%92%E9%B9%8F%E2%80%9C%E5%87%BA%E4%BA%8B%E2%80%9D%E7%9A%84%E8%B9%8A%E8%B7%B7.html
破四舊,1538,2024-09-30T21:47:33Z,https://www.rfa.org/cantonese/commentaries/ching/china-75th-national-day-ccp-propaganda-ideology-09302024145953.html
日在校園,1492,2024-09-23T20:09:35Z,https://www.rfa.org/cantonese/news/uk-confucius-university-stop-funding-china-backed-institutes-09232024125847.html
毛泽东坏得很,257,2024-09-23T02:03:47Z,https://botanwang.com/articles/202409/%E5%A5%BD%E4%BA%9B%E4%BA%8B%EF%BC%8C%E6%88%91%E9%83%BD%E4%B8%8D%E6%95%A2%E7%BB%99%E5%A8%83%E5%84%BF%E8%AE%B2.html
bao + 近平,2399,2024-09-19T05:37:17Z,https://botanwang.com/articles/202409/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E4%B8%AD%E5%85%B1%E5%A4%9C%E9%83%8E%E8%87%AA%E5%A4%A7%EF%BC%8C%E5%B8%A6%E5%8A%A8%E5%85%A8%E6%B0%91%E6%84%8F%E6%B7%AB.html
二十大 + 一尊,4757,2024-09-12T16:13:58Z,https://www.rfa.org/mandarin/zhuanlan/zhongguotoushi/panel-lai-ching-te-initiates-strategic-offense-09122024092536.html
供應 + 芬太尼,342,2024-09-11T22:58:54Z,https://www.rfa.org/cantonese/news/us-act-china-week-congress-bill-mccarthyism-09112024161039.html
