Result,idx,Date,Source
习近平 + 异议人士,3470,2023-01-02T12:38:11Z,https://botanwang.com/articles/202212/%E9%A3%8E%E4%BA%91%E5%9B%9B%E8%B5%B7%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%A6%82%E4%BD%95%E7%BB%88%E5%B1%80%EF%BC%9F.html
习近平 + 魏京生,3715,2023-01-02T12:39:07Z,https://botanwang.com/articles/202212/%E9%A3%8E%E4%BA%91%E5%9B%9B%E8%B5%B7%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%A6%82%E4%BD%95%E7%BB%88%E5%B1%80%EF%BC%9F.html
習近平 + 放棄清零,710,2023-01-02T12:46:25Z,https://boxun.com/archives/209954
彭帅 + 指控,283,2023-01-02T12:48:25Z,https://botanwang.com/articles/202212/2022%E5%B9%B4%EF%BC%8C%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%B7%8C%E8%90%BD%E7%A5%9E%E5%9D%9B.html
指控 + 张高丽,285,2023-01-02T12:49:26Z,https://botanwang.com/articles/202212/2022%E5%B9%B4%EF%BC%8C%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%B7%8C%E8%90%BD%E7%A5%9E%E5%9D%9B.html
常委 + 性侵,288,2023-01-02T12:50:18Z,https://botanwang.com/articles/202212/2022%E5%B9%B4%EF%BC%8C%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%B7%8C%E8%90%BD%E7%A5%9E%E5%9D%9B.html
习近平 + 一键三连,528,2023-01-02T12:51:30Z,https://chinadigitaltimes.net/chinese/691350.html
病毒 + 习近,853,2023-01-02T12:52:30Z,https://botanwang.com/articles/202212/%E5%A4%A7%E6%90%9E%E7%88%B1%E5%9B%BD%E5%8D%AB%E7%94%9F%E8%BF%90%E5%8A%A8%EF%BC%8C%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%91%AB%E8%8A%A6%E9%87%8C%E5%8D%96%E4%BB%80%E4%B9%88%E8%8D%AF%EF%BC%9F.html
不做奴才 + 习近平,1172,2023-01-02T12:55:24Z,https://botanwang.com/articles/202212/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E4%B8%AD%E5%85%B1%E8%B7%9F%E4%B8%89%E5%B9%B4%E5%89%8D%E4%B8%80%E6%A0%B7%E5%BE%80%E5%A2%83%E5%A4%96%E6%94%BE%E6%AF%92.html
习近平 + 打倒 + 共产党,2401,2023-01-02T12:58:03Z,https://botanwang.com/articles/202212/%E4%B9%8C%E9%B2%81%E6%9C%A8%E9%BD%90%E5%A4%A7%E7%81%AB%E8%BF%99%E6%A0%B7%E7%9A%84%E5%AF%BC%E7%81%AB%E7%B4%A2%E8%BF%98%E6%9C%89%E5%A4%9A%E5%B0%91%EF%BC%9F.html
反对习近平,1464,2023-01-02T12:58:04Z,https://botanwang.com/articles/202212/2023%E5%B0%86%E6%9C%89%E5%A4%A7%E8%BD%AC%E6%8A%98.html
习近平 + 个人崇拜,2399,2023-01-02T12:59:20Z,https://botanwang.com/articles/202212/2023%E5%B0%86%E6%9C%89%E5%A4%A7%E8%BD%AC%E6%8A%98.html
对习 + 不满,2962,2023-01-02T13:03:24Z,https://www.rfa.org/mandarin/yataibaodao/zhengzhi/bx-12282022141506.html
拉横幅 + 彭载舟,540,2023-01-02T13:06:33Z,https://botanwang.com/articles/202212/%E7%99%BD%E7%BA%B8%E8%BF%90%E5%8A%A8%E5%A4%9A%E5%90%8D%E6%8A%97%E8%AE%AE%E4%BA%BA%E5%A3%AB%E8%A2%AB%E5%88%91%E6%8B%98%E6%88%96%E4%BC%A0%E5%94%A4%7C%E7%BB%B4%E6%9D%83%E5%BE%8B%E5%B8%88%E4%B9%89%E5%8A%A1%E6%B3%95%E6%8F%B4%E8%A2%AB%E6%8D%95%E8%80%85%E9%81%AD%E6%81%90%E5%90%93%E9%AA%9A%E6%89%B0.html
习近平抹黑,10631,2023-01-02T13:08:23Z,https://chinadigitaltimes.net/chinese/690909.html
犯罪国家主席,10742,2023-01-02T13:09:13Z,https://chinadigitaltimes.net/chinese/690909.html
习近平 + 迫害人权,680,2023-01-02T13:13:54Z,https://chinadigitaltimes.net/chinese/691441.html
西藏 + DNA + 采集,4935,2023-01-02T13:16:29Z,https://chinadigitaltimes.net/chinese/691441.html
二十大 + 习近平 + 连任,5775,2023-01-02T13:18:09Z,https://chinadigitaltimes.net/chinese/691441.html
总书记 + 六四事件,4151,2023-01-02T13:22:15Z,https://www.rfa.org/mandarin/zhuanlan/yehuazhongnanhai/gx-12162022132925.html
DNA + 采集 + 西藏,248,2023-01-02T13:23:39Z,https://www.rfa.org/mandarin/Xinwen/9-12162022145552.html
加速师 + 习,12,2023-01-02T13:25:11Z,https://botanwang.com/articles/202212/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E4%B9%A0%E6%80%BB%E5%8A%A0%E9%80%9F%E5%B8%88%E6%83%B3%E5%88%B9%E8%BD%A6%E4%BA%86%EF%BC%9F.html
近平 + 屁股,1091,2023-01-02T13:27:13Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9A%84%E6%9D%83%E5%8A%9B%E5%B7%85%E5%B3%B0%E5%8F%8A%E5%85%B6%E9%81%AD%E9%81%87%E7%9A%84%E6%84%8F%E5%A4%96%E6%8C%91%E6%88%98.html
崩溃 + 习近,2176,2023-01-02T13:28:08Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9A%84%E6%9D%83%E5%8A%9B%E5%B7%85%E5%B3%B0%E5%8F%8A%E5%85%B6%E9%81%AD%E9%81%87%E7%9A%84%E6%84%8F%E5%A4%96%E6%8C%91%E6%88%98.html
死亡了 + 习总,102,2023-01-02T13:34:44Z,https://botanwang.com/articles/202212/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E7%BE%8E%E5%9B%BD%E8%A6%81%E5%B8%AE%E4%B8%AD%E5%9B%BD%E6%8A%97%E7%96%AB%EF%BC%8C%E8%A2%AB%E4%B8%AD%E5%85%B1%E6%8B%92%E7%BB%9D.html
习近平 + 倒退,1716,2023-01-02T13:42:49Z,https://botanwang.com/articles/202212/%E6%80%9D%E7%B4%A2%E7%99%BE%E5%B9%B4%E5%A4%A7%E7%96%AB%E7%9A%84%E4%B8%80%E4%BA%9B%E4%BA%8B.html
习近平 + 国进民退,91,2023-01-02T13:44:01Z,https://www.rfa.org/mandarin/yataibaodao/jingmao/bx-12192022125440.html
政协 + 举手机器,1292,2023-01-02T13:52:12Z,https://www.rfa.org/mandarin/yataibaodao/zhengzhi/bx-12202022135123.html
一键三连 + 习近平,3496,2023-01-02T13:54:28Z,https://chinadigitaltimes.net/chinese/691063.html
北京之春 + 习近平,4,2023-01-02T13:57:22Z,https://botanwang.com/articles/202212/%E2%80%9C%E6%94%B6%E6%94%BE%E8%87%AA%E5%A6%82%E2%80%9D%E8%83%8C%E5%90%8E%E7%9A%84%E6%97%A0%E5%A5%88%E4%B8%8E%E5%93%80%E5%8F%B9.html
近平 + 无限,170,2023-01-02T13:58:24Z,https://botanwang.com/articles/202212/%E6%A2%85%E5%BE%B7%E9%9F%A6%E6%9D%B0%E5%A4%AB%E7%AA%81%E8%AE%BF%E5%8C%97%E4%BA%AC%7C%E5%90%91%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%BD%AC%E4%BA%A4%E6%99%AE%E4%BA%AC%E4%BF%A1%E5%87%BD.html
下任总理 + 李强,254,2023-01-02T14:05:21Z,https://boxun.com/archives/209040
连任 + 猪,3333,2023-01-02T14:08:47Z,https://botanwang.com/articles/202212/%E6%B6%A6%E8%80%85%E6%97%A0%E7%96%861%EF%BC%9A%E4%BB%96%E4%BB%AC%E9%80%83%E7%A6%BB%E7%9A%84%E7%90%86%E7%94%B1.html
魏京生 + 习近平,707,2023-01-02T14:14:21Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%A7%81%E9%A6%99%E6%B8%AF%E7%89%B9%E9%A6%96%E4%B8%8D%E5%86%8D%E5%9D%90%E2%80%9C%E9%BE%99%E6%A4%85%E2%80%9D.html
死亡 + 习近,10,2023-01-02T14:20:38Z,https://cn.nytimes.com/china/20221226/china-covid-death-toll/?utm_source=RSS
近平 + 昏君,1484,2023-01-02T14:23:19Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9A%84%E4%B8%AD%E5%85%B1%E6%98%AF%E4%B8%AD%E5%9B%BD%E4%BA%BA%E7%97%9B%E8%8B%A6%E7%9A%84%E6%A0%B9%E6%BA%90.html
习近平 + 权力路,5814,2023-01-02T14:24:34Z,https://www.rfa.org/mandarin/zhuanlan/huashengdunshouji/wdbm-12272022092525.html
始皇帝 + 毛主的习,5933,2023-01-02T14:26:08Z,https://www.rfa.org/mandarin/zhuanlan/huashengdunshouji/wdbm-12272022092525.html
毛主的习 + 习近平,5936,2023-01-02T14:27:35Z,https://www.rfa.org/mandarin/zhuanlan/huashengdunshouji/wdbm-12272022092525.html
近平 + 欺凌,6782,2023-01-02T14:28:37Z,https://www.rfa.org/mandarin/zhuanlan/huashengdunshouji/wdbm-12272022092525.html
习刁包,2719,2023-01-02T14:34:02Z,https://botanwang.com/articles/202212/%E4%B8%AD%E6%96%87%E6%8E%A8%E7%89%B9%E7%94%A8%E6%88%B7%E7%83%AD%E8%AE%AE%E4%B8%AD%E5%85%B1%E6%B2%BB%E7%90%86%E8%83%BD%E5%8A%9B%E4%B8%8E%E4%B8%AD%E5%9B%BD%E7%96%AB%E6%83%85.html
习近平 + 自由民主,1097,2023-01-02T14:36:43Z,https://chinadigitaltimes.net/chinese/691369.html
彭立发 + 习近平,3548,2023-01-02T14:38:00Z,https://chinadigitaltimes.net/chinese/691369.html
