Date Tested,Keyword,Translation,# of Components,Language
2017-02-16,金正恩下令+刺杀自己的兄长+黄映镜教授,Kim Jong-un Ordered + Assassinate one's own brother + Professor Balbina Hwang,3,simplified Chinese
2017-02-16,金正恩下令+刺殺自己的兄長+黃映鏡教授,Kim Jong-un Ordered + Assassinate one's own brother + Professor Balbina Hwang,3,traditional Chinese
2017-02-16,异议人士+黑影幢幢+中共政权,Dissident + Flickering shadows + CCP Authorities,3,simplified Chinese
2017-02-16,異議人士+黑影幢幢+中共政權,Dissident + Flickering shadows + CCP Authorities,3,traditional Chinese
2017-02-16,对权力构成挑战+独裁统治+取代金正恩,Post Challenges to Power + Autocratic Rule + Replace Kim Jong-un,3,simplified Chinese
2017-02-16,對權力構成挑戰+獨裁統治+取代金正恩,Post Challenges to Power + Autocratic Rule + Replace Kim Jong-un,3,traditional Chinese
2017-02-16,powerful+Chinese+Xi+leader,,4,English
2017-02-22,独裁的金氏政权+沮丧与失望+受到北京的保护,Autocratic Kim's Regime + Upset and Disappointed + Protected by Beijing,3,simplified Chinese
2017-02-22,獨裁的金氏政權+沮喪與失望+受到北京的保護,Autocratic Kim's Regime + Upset and Disappointed + Protected by Beijing,3,traditional Chinese
2017-02-23,退伍老兵+军委大楼+维权+进京上访,Retired Veteran +  (Central)  Military Commission Building + Defend Rights + Go to Beijing to Petition,4,simplified Chinese
2017-02-23,奥斯卡自由人权奖+王宇律师+维权人士,Oscars Freedom & Human Rights Awards + Lawyer Wang Yu + Rights Defender,3,simplified Chinese
2017-02-23,激烈反弹+曾俊华当选+中央将不会任命+质疑选委,Severe Blowback + Tsang Chun-wah Gets Elected + Central (Govt) Won't Appoint + Question Election Committee,4,simplified Chinese
2017-02-23,激烈反彈+曾俊華當選+中央將不會任命+質疑選委,Severe Blowback + Tsang Chun-wah Gets Elected + Central (Govt) Won't Appoint + Question Election Committee,4,traditional Chinese
2017-02-23,江派+梁振英,Jiang (Zemin) Clique + Leung Chun-ying,2,simplified Chinese
2017-02-23,法学界人士+联名要求+周强下台,Jurisprudence Professionals + Signed (a open letter) to demand + Zhou Qiang to Step Down,3,simplified Chinese
2017-02-23,中国退伍军人+维权+八一大楼,Chinese Retired Military Veteran + Defend Rights + 81 Building,3,simplified Chinese
2017-02-23,不忘抗争+习近平+中国女政治犯,Don't Forget to Fight + Xi Jinping + Chinese Female Political Criminals,3,simplified Chinese
2017-02-23,习近平+诺贝尔和平奖+刘晓波,Xi Jinping + Nobel Peace Prize + Liu Xiaobo,3,simplified Chinese
2017-02-24,王岐山+江系+曾庆红+调查+架空,Governor of Yunnan Province + Scandal of Wrongly Prouncing Characters + Fu You Lake,5,simplified Chinese
2017-02-24,雲南省長+讀錯字醜聞+撫優湖,Governor of Yunnan Province + Scandal of Wrongly Prouncing Characters + Fu You Lake,3,traditional Chinese
2017-02-24,宽衣通商+镇越铁路,Loosen Clothes and Smooth Business + Zhen Yue Railway,2,simplified Chinese
2017-02-24,寬衣通商+鎮越鐵路,Loosen Clothes and Smooth Business + Zhen Yue Railway,2,traditional Chinese
2017-02-24,习近平+江系,Xi Jingping + Jiang Clique,2,simplified Chinese
2017-02-24,習近平+江系,Xi Jingping + Jiang Clique,2,simplified Chinese
2017-02-25,退役军人+中纪委+任国强,Military Veterans + Central Discipline and Inspection Committee + Ren Guoqiang,3,simplified Chinese
2017-02-25,访民黄伦+撬门抄家+北京上访,Petitioner Huang Lun + Break In and Confiscate Things at Home + Petition in Beijing,3,simplified Chinese
2017-02-25,訪民黃倫+撬門抄家+北京上訪,Petitioner Huang Lun + Break In and Confiscate Things at Home + Petition in Beijing,3,simplified Chinese
2017-02-25,政策的牺牲品+梁振英的维稳+中共改造,Sacrifice for Policy + Lueng Chun-ying's Stability Maintenance (Tool) + CCP Reform,3,traditional Chinese
2017-02-25,街头政治+大陆横行霸道+中共红二代,Street Politics + Mainland Bullies + CCP 2nd Red Generation,3,simplified Chinese
2017-02-25,街頭政治+大陸橫行霸道+中共紅二代,Street Politics + Mainland Bullies + CCP 2nd Red Generation,3,traditional Chinese
2017-02-25,党报和五毛+中共念念不忘+改造香港,Party Newspaper + Fifty-cent (Party) + CCP Never Forgets + Change Hong Kong,3,simplified Chinese
2017-02-25,黨報和五毛+中共念念不忘+改造香港,Party Newspaper + Fifty-cent (Party) + CCP Never Forgets + Change Hong Kong,3,traditional Chinese
2017-02-27,政治歌+彭丽媛并立+高层雷厉风行,Politcal Songs + Peng Liyuan Parallel + High Level (carries out a task) resolutely and swiftly,3,simplified Chinese
2017-02-27,中共官员+抛弃统战+难逞所愿,CCP Officials + Abandon United Front + Difficult to Fulfil One's Wish,3,simplified Chinese
2017-02-27,两会疯狂维稳+截访者+冲击旅馆+韩素华仰药,Two Sessions Crazy about Maintaining Social Stability + Petition Stoppers + Attack Hotels + Han Suhua Drinks Poisonous Drugs ,4,simplified Chinese
2017-02-27,兩會瘋狂維穩+截訪者+衝擊旅館+韓素華仰藥,Two Sessions Crazy about Maintaining Social Stability + Petition Stoppers + Attack Hotels + Han Suhua Drinks Poisonous Drugs ,4,traditional Chinese
2017-02-27,沙雅监狱+张海涛+期满考试合格,Shayar/Xayar Jail + Zhang Haitao + (Jail) Time Finished and Pass The (Reeducation) Exam ,3,simplified Chinese
2017-02-27,沙雅監獄+張海濤+期滿考試合格,Shayar/Xayar Jail + Zhang Haitao + (Jail) Time Finished and Pass The (Reeducation) Exam ,3,traditional Chinese
2017-02-27,新疆当局+张海涛+良心犯,Xinjiang Authorities + Zhang Haitao + Criminals with Conscience,3,simplified Chinese
2017-02-27,低级的算法+暗批中国制裁+朝中社署名,Low-grade Calculation + Indirectly Criticize China's Sanctions (against North Korea) + Korean Central News Agency,3,simplified Chinese
2017-02-27,中国右派+夹边沟祭事+公开放映,Chinese Rightist + Jiabiangou Elegy + Public Screening,3,simplified Chinese
2017-02-27,国际特赦+世界报告+西藏人权,Amnesty International + World Report + Tibet Human Rights,3,simplified Chinese
2017-02-27,國際特赦+世界報告+西藏人權,Amnesty International + World Report + Tibet Human Rights,3,traditional Chinese
2017-02-27,境内藏人+中共的打压+政治犯数据库,Tibetans Within (Chinese) Borders + CCP's Crackdown + Database of Political Criminals,3,simplified Chinese
2017-02-27,境內藏人+中共的打壓+政治犯數據庫,Tibetans Within (Chinese) Borders + CCP's Crackdown + Database of Political Criminals,3,traditional Chinese
2017-02-27,郭树清+充满欺诈+金融系统,Guo Shuqing + Full of Fraud + Financial System,3,simplified Chinese
2017-02-27,曾荫权+大陆的官员+大大清官,Donald Tsang + Mainland Officials + Big Clean Official,3,simplified Chinese
2017-02-27,政治目标+被我们忽视+深度官僚,Political Goals + Ingored by Us (in the West) + Deepply Bureaucratic,3,simplified Chinese
2017-02-27,政治目標+被我們忽視+深度官僚,Political Goals + Ingored by Us (in the West) + Deepply Bureaucratic,3,traditional Chinese
2017-02-27,power+Xiaoping+authoritarian,,3,English
2017-02-27,金家王朝+指责中国+中朝关系的恶化,Kim Dynasty + Accused China + Sino-DPRK Relations Worsen,3,simplified Chinese
2017-02-27,Jinping+erratic+ruling+Kim+dynasty,,5,English
2017-02-28,德国之声+习近平+红色紧箍咒,Deutsche Welle + Xi Jinping + Red Incantation,3,simplified Chinese
2017-02-28,支持达赖,Support Da Lai,1,simplified Chinese
2017-02-28,访民曾宪武+中共镇压+此次两会,Petitioner Zeng Xianwu + CCP Crackdown + This (year's) Two Sessions,3,simplified Chinese
2017-02-28,訪民曾憲武+中共鎮壓+此次兩會,Petitioner Zeng Xianwu + CCP Crackdown + This (year's) Two Sessions,3,traditional Chinese
2017-02-28,特首梁振英+进政协+引发争议,Chief Executive Leung Chen-ying + Enter (Chinese People's) Political Consultative Conference + Cause Controversy,3,simplified Chinese
2017-02-28,张书国仕途+清毒工作+肃清郭徐,Zhang Shuguo Political Careet + Cleansing + Clean Up Guo (Boxiong) Xu (Caihou),3,simplified Chinese
2017-02-28,張書國仕途+清毒工作+肅清郭徐,Zhang Shuguo Political Careet + Cleansing + Clean Up Guo (Boxiong) Xu (Caihou),3,traditional Chinese
2017-02-28,权力过渡+一个中国+非要受制,(Trump's) Power Transition + One China (Policy) + (Why) Have to Be Restrained By,3,simplified Chinese
2017-02-28,谭晶已转入+云南代表团+军改大裁员,Tan Jing Has Transferred to + Yunnan Delegate + Army Reform and Layoff,3,simplified Chinese
2017-03-03,全面被禁+人大代表+约合3万亿+德国之声,All Banned + Represtatives of National People's Congress + About 4000 Billion (Yuan) + Deustche Welle,4,simplified Chinese
2017-03-03,全面被禁+人大代表+約合3萬億+德國之聲,All Banned + Represtatives of National People's Congress + About 4000 Billion (Yuan) + Deustche Welle,4,traditional Chinese
2017-03-03,人权迫害+习近平+极端压制,Persecute Human Rights + Xi Jinping + Extreme Crackdown,3,simplified Chinese
2017-03-03,习近平+富翁代表+巨额财富,Xi Jinping + Rich Representatives + Huge Amount of Wealth,3,simplified Chinese
2017-03-03,香港26名+俞正声+反对梁振英,Hong Kong 26 (legislators) + Yu Zhengsheng + Oppose Leung Chun-ying,3,simplified Chinese
2017-03-03,共产党+能保持稳定+地震可能不会,CCP + Can Remain Stable + Shakeup Might Not (Come),3,simplified Chinese
2017-03-03,习近平是否+巩固自己+新领导层的控制,Whether Xi Jinping Can + Consolidate Himself + Control over New Leadership ,3,simplified Chinese
2017-03-03,共产党+领导人的权力+持着一种约束,CCP + Leader's Power + (Maintain) a Restrain ,3,simplified Chinese
2017-03-03,虽然习近平+新领导层+交易的牺牲品,Although Xi Jinping + New Leadership  + Sacrifice of Trade,3,simplified Chinese
2017-03-03,邓茂生的说法+最高层的意见+没有报道,Deng Maosheng's Statement + Opinions from the Top-level Leadership + (Chinese media) didn't report,3,simplified Chinese
2017-03-03,习近平+政治皮影戏+想象的傲慢,Xi Jingping + Political Shadow Play + (Un)imaginable Arrogance,3,simplified Chinese
2017-03-03,彭博社报道+邓茂生说+七上八下,Bloomberg Report + Deng Maosheng Says + 7(0-years-old) Took Office 8(0-years-old) Retired,3,simplified Chinese
2017-03-03,王岐山的猜测+10月开始+年龄的规定,Wang Qishan's Guess + Starting from October + Rules about Age,3,simplified Chinese
2017-03-03,习近平+曾在+年龄的规定不是绝对的,Xi Jinping + Once At + Rulse About Age Is Not Absolute,3,simplified Chinese
2017-03-03,习近平+曾淡化+七上八下的规定,"Xi Jinping + Weakened + Rules on ""7(0-years-old) Took Office 8(0-years-old) Retired""",3,simplified Chinese
2017-03-03,习近平+还没+王岐山留任+发出了信号,Xi Jinping + Not Yet + Wang Qishan Keeps Position + Sent Signal,4,simplified Chinese
2017-03-03,王岐山放弃+他担任过+混乱的政府,Wang Qishan Gave Up + He Assumed Office As + Chaotic Govt,3,simplified Chinese
2017-03-03,王岐山+党威权统治+深红色信念,Wang Qishan + Party's Authoritarian Rule + Dark Red Faith,3,simplified Chinese
2017-03-03,王岐山+麦卡维尔+只不过+国家控制之下的系统的效率,Wang Qishan + McArver + (He) Is Only + Efficiency of the System Under State Control,4,simplified Chinese
2017-03-03,负债累累+习近平可能+王岐山担任总理,High In Debt + Xi Jingping May + (Let) Wang Qishan Be Prime Minister,3,simplified Chinese
2017-03-03,替换李克强+重启停滞+改革提供,Replace Li Keqiang + Restart Stagnatic (Reform) + Offer Reform (an Opportunity),3,simplified Chinese
2017-03-03,邓聿文说+让王岐山+让出这个权力,Deng Jinwen Said + Let Wang Qishan (Have More Say over Economic Policy) + (Xi Jinping Might Not) Let Go of Power,3,simplified Chinese
2017-03-03,李克强+都做不成+权力不在他手,Li Keqiang + Not Able to Do (many things) + Power Not In His Hands,3,simplified Chinese
2017-03-03,退休官员说+王岐山曾+应对未预料,Retired Official Said + Wang Qishan Once (said to his friends) + Handle Unexpected (tasks),3,simplified Chinese
2017-03-03,王岐山+网上泄露出来+党叫干啥,Wang Qishan + (Speech Video) Leaked on the Internet + (Do As) The Party Says,3,simplified Chinese
2017-03-06,互相矛盾+显得尴尬+中国+双重标准,Contradict itself + Seems Embarassing + China + Double Standards,4,simplified Chinese
2017-03-06,习近平+西方舆论大多解释+更重要的是国王,Xi Jinping + Opinions in the West Mostly Considered + Emperor Is More Important,3,simplified Chinese
2017-03-06,習近平+西方輿論大多解釋+更重要的是國王,Xi Jinping + Opinions in the West Mostly Considered + Emperor Is More Important,3,traditional Chinese
2017-03-06,十九大+习近平+迫切地打造个人舞台,19th Party Congress + Xi Jinping + Eagerly Build His Personal Show,3,simplified Chinese
2017-03-06,习近平+不以为然+不想误导民众,Xi Jinping + Doesn't Take It Seriously + Don't Want To Mislead People,3,simplified Chinese
2017-03-06,習近平+不以爲然+不想誤導民衆,Xi Jinping + Doesn't Take It Seriously + Don't Want To Mislead People,3,traditional Chinese
2017-03-06,努力表演+习近平+显然并不买账,Try Playing Along + Xi Jinping + Clearly Does Not Care,3,simplified Chinese
2017-03-06,努力表演+習近平+顯然並不買賬,Try Playing Along + Xi Jinping + Clearly Does Not Care,3,traditional Chinese
2017-03-06,两会明星+宣传部门的批评+朝圣仪典,Celebrities at the Two Sessions + Criticized by Propaganda Department + Pilgrimage Ceremony,3,simplified Chinese
2017-03-06,兩會明星+宣傳部門的批評+朝聖儀典,Celebrities at the Two Sessions + Criticized by Propaganda Department + Pilgrimage Ceremony,3,simplified Chinese
2017-03-06,中国大陆在发展对台政策的过程中+BBC中文网+不予回应,Mainland China In the Process of Developing Its Taiwan Policy + BBC Chinese + No Response,3,simplified Chinese
2017-03-06,习近平第一个任期的成绩单,Track Record of Xi Jinping's First Term,1,simplified Chinese
2017-03-06,习近平+程序的承诺+支持者满怀信心,Xi Jinping + Pledges to (cut) Red Tape + Proponents Take Heart,3,simplified Chinese
2017-03-06,乐观情绪+信贷的规模+小变化+习近平,Optimism (has faded) + scale of (government-steered) lending + Small Changes + Xi Jinping,4,simplified Chinese
2017-03-06,习近平+臭名昭著的一孩政策+强迫堕胎,Xi Jinping + Notorious One-Chind Policy + Forced Abortions,3,simplified Chinese
2017-03-06,習近平+臭名昭著的一孩政策+強迫墮胎,Xi Jinping + Notorious One-Chind Policy + Forced Abortions,3,traditional Chinese
2017-03-06,习近平+经济改革+只是一纸空头支票,Xi Jinping + Economic Reforms + An Empty Cheque,3,simplified Chinese
2017-03-06,習近平+經濟改革+只是一紙空頭支票,Xi Jinping + Economic Reforms + An Empty Cheque,3,traditional Chinese
2017-03-06,习近平+口头上谈改革+紧紧抓住权力,Xi Jinping + Pay Lip Service to Reform + Tighten Grip on Power,3,simplified Chinese
2017-03-06,習近平+口頭上談改革+緊緊抓住權力,Xi Jinping + Pay Lip Service to Reform + Tighten Grip on Power,3,traditional Chinese
2017-03-06,并不掩饰+对习近平+没有付现的失望,Do Not Disguise + Towards Xi Jinping + Disappointment about Not Realizing (Reforms),3,simplified Chinese
2017-03-06,並不掩飾+對習近平+沒有付現的失望,Do Not Disguise + Towards Xi Jinping + Disappointment about Not Realizing (Reforms),3,traditional Chinese
2017-03-06,要倒回来+习近平+承诺的改革+面前退缩,Reversal of (Strides) + Xi Jinping + Promised Reforms + Flinch From (Harder Changes),4,simplified Chinese
2017-03-06,要倒回來+習近平+承諾的改革+面前退縮,Reversal of (Strides) + Xi Jinping + Promised Reforms + Flinch From (Harder Changes),4,traditional Chinese
2017-03-06,经济衰退+习近平+最大疑问+逃离中国,Steeper Economic Slowdown + Xi Jinping + Biggest Questions + (Capital) Leave China,4,simplified Chinese
2017-03-06,經濟衰退+習近平+最大疑問+逃離中國,Steeper Economic Slowdown + Xi Jinping + Biggest Questions + (Capital) Leave China,4,traditional Chinese
2017-03-06,习近平+债务上升+不会得到+变得更糟,Xi Jinping + Rising Debt + Will Not Be (Solved) + Get Worse,4,simplified Chinese
2017-03-06,習近平+債務上升+不會得到+變得更糟,Xi Jinping + Rising Debt + Will Not Be (Solved) + Get Worse,4,traditional Chinese
2017-03-06,习近平执政+亿万富翁+成为了立法者,Under the Rule of xi Jinping + Billionares + Became Lawmakers,3,simplified Chinese
2017-03-06,人大和政协+富有的成员+习近平上台,NPC and CPPCC + Wealthy Members + Xi jingping Took Power,3,simplified Chinese
2017-03-06,人大的代表+没有太大实权+交际的地方,Members of National People's Congress + Do Not Have A Lot of Power + A Place for Networking,3,simplified Chinese
2017-03-06,党开始欢迎+富人成员加入+增强权威性,Party Begins Welcoming + Rich Members Join + Strengthen Authorities,3,simplified Chinese
2017-03-07,中国制造+德新社援引+要排挤外国,Made In China + Deutsche Presse-Agentur + Single Out Foreign Countries,3,simplified Chinese
2017-03-07,中国政府+维稳+下岗工人+苦求生存,Chinese Govt + Maintain (Social) Stability + Laid-off Workers + Beg for Living,4,simplified Chinese
2017-03-07,中國政府+維穩+下崗工人+苦求生存,Chinese Govt + Maintain (Social) Stability + Laid-off Workers + Beg for Living,4,traditional Chinese
2017-03-07,罗富和+公开批评+网路审查制度,Luo Fuhe + Openly Criticized + Internet Censorship,3,simplified Chinese
2017-03-07,羅富和+公開批評+網路審查制度,Luo Fuhe + Openly Criticized + Internet Censorship,3,traditional Chinese
2017-03-07,罗富和+公开批评+严密的网路审查,Luo Fuhe + Openly Criticized + Internet Censorship,3,simplified Chinese
2017-03-07,羅富和+公開批評+嚴密的網路審查,Luo Fuhe + Openly Criticized + Internet Censorship,3,traditional Chinese
2017-03-07,不透明的+军费+北京要瞒,Non-transparent + Military Spending + Beijing Tries to Hide,3,simplified Chinese
2017-03-07,不透明的+軍費+北京要瞞,Non-transparent + Military Spending + Beijing Tries to Hide,3,traditional Chinese
2017-03-07,制裁韩国+北京+显得无能,Sanction South Korea + Beijing + Appears Impotent,3,simplified Chinese
2017-03-07,制裁韓國+北京+顯得無能,Sanction South Korea + Beijing + Appears Impotent,3,traditional Chinese
2017-03-07,部署萨德+反对一个中国+抗议的套路,Deploy THAAD + Oppose One-China (Policy) + (Chinese) Patterns of Protest,3,simplified Chinese
2017-03-07,独立候选人+遭到打压+北京,Independent Candidates + Faced with Crackdown + Beijing,3,simplified Chinese
2017-03-08,疫苗安全+公民提案+呼吁提升+政府应当尽早,Safety of Vaccines + Citizen Proposal + Adocate Upgrading (safety) + Govt Should Soon,4,simplified Chinese
2017-03-08,中共当局拘捕+传唤骚扰+示威者,CCP Authorities Arrested + Summon and Harrass + Protesters,3,simplified Chinese
2017-03-08,屠杀藏人,Murder Tibetans,1,simplified Chinese
2017-03-08,掌握在中央政府+非常不民主+中央内定的人选,Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt),3,simplified Chinese
2017-03-08,掌握在中央政府+非常不民主+中央內定的人選,Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt),3,traditional Chinese
2017-03-10,鲍彤+习近平+政治上他要求的集权,Bao Tong + Xi Jinping + The Centralized Political Power He Demanded ,3,simplified Chinese
2017-03-10,人权状况+人权报告+西藏,Human Rights Status + Human Rights Report + Tibet,3,simplified Chinese
2017-03-10,人權狀況+人權報告+西藏,Human Rights Status + Human Rights Report + Tibet,3,traditional Chinese
2017-03-10,压制+中国政府+达赖喇嘛,Restrain + Chinese Government + Dalai Lama,3,simplified Chinese
2017-03-10,同床异梦+习近平+一身的权力+乏善可陈,Sleep in the same bed but dream different dreams + Xi Jinping + All the Power (He) Holds + Have Nothing Good to Report,4,simplified Chinese
2017-03-10,萨德+入韩标志东北亚+形成冷战式敌对,THAAD + Deployed in Korea Signals Northeast Asia + Forms Cold War-style Adversary,3,simplified Chinese
2017-03-10,抵制乐天+政府操纵+早上恨美国,boycott LOTTE + Government Manipulation + In the mornings (we) hate America,3,simplified Chinese
2017-03-10,抵制樂天+政府操縱+早上恨美國,boycott LOTTE + Government Manipulation + In the mornings (we) hate America,3,traditional Chinese
2017-03-10,血洗中国+反恐维稳+中国当局,Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities,3,simplified Chinese
2017-03-10,血洗中國+反恐維穩+中國當局,Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities,3,traditional Chinese
2017-03-13,网络长城+屏蔽了政治敏感+全面解禁,Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall,3,simplified Chinese
2017-03-13,網絡長城+屏蔽了政治敏感+全面解禁,Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall,3,traditional Chinese
2017-03-13,天朝主义+中国专制极权+政治压力,Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure,3,simplified Chinese
2017-03-13,天朝主義+中國專制極權+政治壓力,Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure,3,traditional Chinese
2017-03-13,李平+香港新闻自由+天朝主义,Li Ping + Hong Kong's Press Freedom + Celestial Dynasty,3,simplified Chinese
2017-03-13,李平+香港新聞自由+天朝主義,Li Ping + Hong Kong's Press Freedom + Celestial Dynasty,3,traditional Chinese
2017-03-13,裙带资本+邓小平经济+专制模式,Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model,3,simplified Chinese
2017-03-13,裙帶資本+鄧小平經濟+專制模式,Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model,3,traditional Chinese
2017-03-13,首尔威胁+中共的报复+本来面目,Made Threats in Soeul + CCP's Retaliation + (Revealed) True Color,3,simplified Chinese
2017-03-13,做着中国梦+净捡软的捏+祖国让我恨谁,"Having ""Chinese Dream"" + Pick off the weak members of the herd + (I'd hate whomever that) My Motherland Makes Me Hate",3,simplified Chinese
2017-03-13,既得利益者+异议人士+两会拍手+中共,People With Vested Interest + Dissident + Clap for Two Sessions + CCP,4,simplified Chinese
2017-03-13,既得利益者+異議人士+兩會拍手+中共,People With Vested Interest + Dissident + Clap for Two Sessions + CCP,4,traditional Chinese
2017-03-13,李克强+公开信,Li Keqiang + Open Letter,2,simplified Chinese
2017-03-13,李克強+公開信,Li Keqiang + Open Letter,2,traditional Chinese
2017-03-13,梁振英的名牌+握手寒暄+香港民主派,Leung Chun-ying's Name Tag + Handshake And Greetings (With Xi Jinping) + Hong Kong Demoncrats,3,simplified Chinese
2017-03-13,两会的气氛+薄熙来倒台+对中共而言,Atmosphere of Two Sessions + Bo Xilai's Downfall + To CCP,3,traditional Chinese
2017-03-13,薄熙来路线+习近平+区别於邓江胡,"Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)",3,simplified Chinese
2017-03-13,薄熙來路線+習近平+區別於鄧江胡,"Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)",3,traditional Chinese
2017-03-13,中共的黑幕+政治独裁+雾霾和雷阳案,CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang,3,simplified Chinese
2017-03-13,中共的黑幕+政治獨裁+霧霾和雷陽案,CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang,3,traditional Chinese
2017-03-13,习近平+崇毛情结+搏取上位+高层内斗,Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership,4,simplified Chinese
2017-03-13,習近平+崇毛情結+搏取上位+高層內鬥,Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership,4,traditional Chinese
2017-03-13,薄熙来不垮台+保住身家+权力分配+习近平,Bo Xilai Weren't Overthrown + Keep their wealth + Power Distribution + Xi Jinping,4,simplified Chinese
2017-03-13,中共+权力斗争+政变,CCP + Power Struggle + Coup,3,simplified Chinese
2017-03-13,薄熙来倒台+习近平时代+搞权力斗争,Bo Xilai's downfall + Xi Jingping's Era + Power Play,3,simplified Chinese
2017-03-13,习薄斗争+尤其毛左派+遭到报复,Xi (Jinping) Bo (Xilai)'s Fight + Especially Mao Leftist + Face Retaliation,3,simplified Chinese
2017-03-13,集体自卫+中共一直利用+军事化辩护,Collective Self-Defense + CCP Has Been Exploiting + Defend Its Militarization (in South China Sea),3,simplified Chinese
2017-03-13,中共御用网络+习近平+袒护金家王朝,CCP's Special Internet (Commentator) + Xi Jinping + Shield the Kim Dynasty,3,simplified Chinese
2017-03-13,中国官方媒体+号召民众+抵制韩货+民众报复,China's State Media + Call for pelple + To Boycott Korean goods + Retaliated by people,4,simplified Chinese
2017-03-13,卜睿哲+习近平选择+朴槿惠等了很久,Richard Bush III (Said) + Xi Jinping Chose to + Let Park Geun-hye Wait Long,3,simplified Chinese
2017-03-13,卜睿哲+习近平的态度+形成鲜明对比,Richard Bush III (Said) + Xi Jinping's Attitude + Forms Sharp Contrast ,3,simplified Chinese
2017-03-14,毒害学生+培育民族仇恨+洗脑教育,Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education,3,simplified Chinese
2017-03-14,毒害學生+培育民族仇恨+洗腦教育,Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education,3,traditional Chinese
2017-03-14,郭文贵+爆料,Guo Wengui + Expose ,2,simplified Chinese
2017-03-14,郭文貴+爆料,Guo Wengui + Expose ,2,traditional Chinese
2017-03-14,郭文贵+专访,Guo Wengui + Interview ,2,simplified Chinese
2017-03-14,郭文贵+电视,Guo Wengui + Television ,2,simplified Chinese
2017-03-14,郭文贵+习近平,Guo Wengui + Xi Jinping,2,simplified Chinese
2017-03-14,郭文贵+吴征,Guo Wengui + Wu Zheng,2,simplified Chinese
2017-03-14,明镜+郭文贵,Mingjing (News) + Guo Wengui,2,simplified Chinese
2017-03-14,郭文贵+贺国强,Guo Wengui + He Guoqiang,2,simplified Chinese
2017-03-14,郭文貴+賀國強,Guo Wengui + He Guoqiang,2,traditional Chinese
2017-03-14,郭文贵+李源潮,Guo Wengui + Li Yuanchao,2,simplified Chinese
2017-03-14,郭文貴+李源潮,Guo Wengui + Li Yuanchao,2,traditional Chinese
2017-03-14,郭文贵+令计划,Guo Wengui + Ling Jihua,2,simplified Chinese
2017-03-14,郭文贵+中共,Guo Wengui + CCP,2,simplified Chinese
2017-03-14,两会是一场政治秀+政治斗争+习近平,Two Sessions Is A Political Show + Potical Struggle + Xi Jinping,3,simplified Chinese
2017-03-14,兩會是一場政治秀+政治鬥爭+習近平,Two Sessions Is A Political Show + Potical Struggle + Xi Jinping,3,traditional Chinese
2017-03-14,习近平+知识界的压制太狠+恶劣印象,Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression,3,simplified Chinese
2017-03-14,習近平+知識界的壓制太狠+惡劣印象,Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression,3,traditional Chinese
2017-03-14,习近平+压制言论+自己的政权带来巨大威胁,Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime,3,simplified Chinese
2017-03-14,習近平+壓制言論+自己的政權帶來巨大威脅,Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime,3,traditional Chinese
2017-03-14,李克強+辭職,Li Keqiang + Resign,2,traditional Chinese
2017-03-15,习近平+巩固自己的权力+技术官僚总理,Xi Jinping + Consolidate His Own Power + Technocrat Primer ,3,simplified Chinese
2017-03-15,習近平+鞏固自己的權力+技術官僚總理,Xi Jinping + Consolidate His Own Power + Technocrat Primer ,3,traditional Chinese
2017-03-15,习近平+按照自己的设想+没有实权的虚位,Xi Jinping + Follow his own visions + A Position without Real Power,3,simplified Chinese
2017-03-15,習近平+按照自己的設想+沒有實權的虛位,Xi Jinping + Follow his own visions + A Position without Real Power,3,traditional Chinese
2017-03-15,接替李克强+习近平的亲信+中共,Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP,3,simplified Chinese
2017-03-15,接替李克強+習近平的親信+中共,Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP,3,traditional Chinese
2017-03-20,没有制定民法典+德国之声+从摇篮到坟墓,Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave ,3,simplified Chinese
