Date Tested,Keyword,Translation,# of Components,Language
2016-12-12,下午7点+春熙路集合+正视雾霾根源,7 PM + Chunxi Road Gather + Face root causes of smog,3,simplified Chinese
2016-12-12,向中央示好+教育系统开始清理+自由派,Court Central (Govt) + Start clearning up education system + Liberal Camp,3,simplified Chinese
2016-12-12,港独+香港民族党召集人陈浩天,Hong Kong Independence + Hong Kong National Party Convenor Chan Ho-tin,2,simplified Chinese
2016-12-12,港獨+香港民族黨召集人陳浩天,Hong Kong Independence + Hong Kong National Party Convenor Chan Ho-tin,2,traditional Chinese
2016-12-12,占领中环+支持香港抗争,Occupy Central + Support HK Fight,2,simplified Chinese
2016-12-13,梁振英的命运+中共统治+它的红线,CY Leung's Fate + CCP's Rule + Its Bottom Line,3,simplified Chinese
2016-12-13,中国当局+罔顾家属意愿+中共专制政权,China authorities + Ignore Family's Will + CCP Authoritarian Regmie,3,simplified Chinese
2016-12-13,中國當局+罔顧家屬意願+中共專制政權,China authorities + Ignore Family's Will + CCP Authoritarian Regmie,3,traditional Chinese
2016-12-13,当局强拆+喝药自杀的悲剧+14户拆迁户,Force Demolition by Authorities + Tragedy of Taking Drugs to Commit Suicide + 14 Familiies Faced by Demolition,3,simplified Chinese
2016-12-13,當局強拆+喝藥自殺的悲劇+14戶拆遷戶,Force Demolition by Authorities + Tragedy of Taking Drugs to Commit Suicide + 14 Familiies Faced by Demolition,3,traditional Chinese
2016-12-13,声援+西藏精神领袖达赖喇嘛,Voice Support + Tibet's Spiritual Leader Dalai Lama,2,simplified Chinese
2016-12-13,聲援+西藏精神領袖達賴喇嘛,Voice Support + Tibet's Spiritual Leader Dalai Lama,2,traditional Chinese
2016-12-13,中共当局+流亡藏人+达赖喇嘛,CCP Authorities + Tibetans in Exile + Dalai Lama,3,simplified Chinese
2016-12-13,达赖喇嘛+万岁,Dalai Lama + Long Live,2,simplified Chinese
2016-12-13,民生观察网刘飞跃+中共,Civil Rights and Livelihood Watch Website Liu Feiyue + CCP,2,simplified Chinese
2016-12-13,严控信息+禁令的目的是阻止被当局认为有可能削弱共产党统治,Strictly Control Information + Goal of Directives Is To Block --- that might weaken CCP rule,2,simplified Chinese
2016-12-13,嚴控信息+禁令的目的是阻止被當局認爲有可能削弱共產黨統治,Strictly Control Information + Goal of Directives Is To Block --- that might weaken CCP rule,2,traditional Chinese
2016-12-14,使用威胁+党内调查+中共自己炮制,Use Threats + Intra-party Investigation + CCP Designs Itself,3,simplified Chinese
2016-12-14,分析文章+习近平的改革+腐败注资,Op-ed + Xi Jinping's Reform + Corruption Investment,3,simplified Chinese
2016-12-14,分析文章+習近平的改革+腐敗注資,Op-ed + Xi Jinping's Reform + Corruption Investment,3,traditional Chinese
2016-12-14,游蕙祯+今天统治着13亿+出卖中国人的血,Yau Wai-ching + Today Ruling 1.3 Billion + Sell Chinese People's Blood,3,simplified Chinese
2016-12-14,致习近平的批评性公开信+中穆网,A Critical Open Letter To Xi Jinping + China Muslim Net,2,simplified Chinese
2016-12-14,致習近平的批評性公開信+中穆網,A Critical Open Letter To Xi Jinping + China Muslim Net,2,traditional Chinese
